EmployeeID,EmployeeCount,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,IncomeBand,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
14,1,35,27-35,No,"Travel Rarely",809,"Research & Development",16,3,Medical,1,Male,84,4,1,"Laboratory Technician",2,Married,2426,1k-5k,16479,0,No,13,3,3,1,6,5,3,5,4,0,3
15,1,29,27-35,No,"Travel Rarely",153,"Research & Development",15,2,"Life Sciences",4,Female,49,2,2,"Laboratory Technician",3,Single,4193,1k-5k,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8
16,1,31,27-35,No,"Travel Rarely",670,"Research & Development",26,1,"Life Sciences",1,Male,31,3,1,"Research Scientist",3,Divorced,2911,1k-5k,15170,1,No,17,3,4,1,5,1,2,5,2,4,3
18,1,34,27-35,No,"Travel Rarely",1346,"Research & Development",19,2,Medical,2,Male,93,3,1,"Laboratory Technician",4,Divorced,2661,1k-5k,8758,0,No,11,3,3,1,3,2,3,2,2,1,2
19,1,28,27-35,Yes,"Travel Rarely",103,"Research & Development",24,3,"Life Sciences",3,Male,50,2,1,"Laboratory Technician",3,Single,2028,1k-5k,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3
20,1,29,27-35,No,"Travel Rarely",1389,"Research & Development",21,4,"Life Sciences",2,Female,51,4,3,"Manufacturing Director",1,Divorced,9980,5k-10k,10195,1,No,11,3,3,1,10,1,3,10,9,8,8
21,1,32,27-35,No,"Travel Rarely",334,"Research & Development",5,2,"Life Sciences",1,Male,80,4,1,"Research Scientist",2,Divorced,3298,1k-5k,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5
22,1,22,18-26,No,Non-Travel,1123,"Research & Development",16,2,Medical,4,Male,96,4,1,"Laboratory Technician",4,Divorced,2935,1k-5k,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0
23,1,53,45-53,No,"Travel Rarely",1219,Sales,2,4,"Life Sciences",1,Female,78,2,4,Manager,4,Married,15427,15k-20k,22021,2,No,16,3,3,0,31,3,3,25,8,3,7
24,1,38,36-44,No,"Travel Rarely",371,"Research & Development",2,3,"Life Sciences",4,Male,45,3,1,"Research Scientist",4,Single,3944,1k-5k,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2
26,1,24,18-26,No,Non-Travel,673,"Research & Development",11,2,Other,1,Female,96,4,2,"Manufacturing Director",3,Divorced,4011,1k-5k,8232,0,No,18,3,4,1,5,5,2,4,2,1,3
27,1,36,36-44,Yes,"Travel Rarely",1218,Sales,9,4,"Life Sciences",3,Male,82,2,1,"Sales Representative",1,Single,3407,1k-5k,6986,7,No,23,4,2,0,10,4,3,5,3,0,3
28,1,34,27-35,No,"Travel Rarely",419,"Research & Development",7,4,"Life Sciences",1,Female,53,3,3,"Research Director",2,Single,11994,10k-15k,21293,0,No,11,3,3,0,13,4,3,12,6,2,11
30,1,21,18-26,No,"Travel Rarely",391,"Research & Development",15,2,"Life Sciences",3,Male,96,3,1,"Research Scientist",4,Single,1232,1k-5k,19281,1,No,14,3,4,0,0,6,3,0,0,0,0
31,1,34,27-35,Yes,"Travel Rarely",699,"Research & Development",6,1,Medical,2,Male,83,3,1,"Research Scientist",1,Single,2960,1k-5k,17102,2,No,11,3,3,0,8,2,3,4,2,1,3
32,1,53,45-53,No,"Travel Rarely",1282,"Research & Development",5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,15k-20k,10735,4,No,11,3,4,1,26,3,2,14,13,4,8
33,1,32,27-35,Yes,"Travel Frequently",1125,"Research & Development",16,1,"Life Sciences",2,Female,72,1,1,"Research Scientist",1,Single,3919,1k-5k,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7
35,1,42,36-44,No,"Travel Rarely",691,Sales,8,4,Marketing,3,Male,48,3,2,"Sales Executive",2,Married,6825,5k-10k,21173,0,No,11,3,4,1,10,2,3,9,7,4,2
36,1,44,36-44,No,"Travel Rarely",477,"Research & Development",7,4,Medical,1,Female,42,2,3,"Healthcare Representative",4,Married,10248,10k-15k,2094,3,No,14,3,4,1,24,4,3,22,6,5,17
38,1,46,45-53,No,"Travel Rarely",705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947,15k-20k,22822,3,No,12,3,4,0,22,2,2,2,2,2,1
39,1,33,27-35,No,"Travel Rarely",924,"Research & Development",2,3,Medical,3,Male,78,3,1,"Laboratory Technician",4,Single,2496,1k-5k,6670,4,No,11,3,4,0,7,3,3,1,1,0,0
40,1,44,36-44,No,"Travel Rarely",1459,"Research & Development",10,4,Other,4,Male,41,3,2,"Healthcare Representative",4,Married,6465,5k-10k,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3
41,1,30,27-35,No,"Travel Rarely",125,"Research & Development",9,2,Medical,4,Male,83,2,1,"Laboratory Technician",3,Single,2206,1k-5k,16117,1,No,13,3,1,0,10,5,3,10,0,1,8
42,1,39,36-44,Yes,"Travel Rarely",895,Sales,5,3,"Technical Degree",4,Male,56,3,2,"Sales Representative",4,Married,2086,1k-5k,3335,3,No,14,3,3,1,19,6,4,1,0,0,0
45,1,24,18-26,Yes,"Travel Rarely",813,"Research & Development",1,3,Medical,2,Male,61,3,1,"Research Scientist",4,Married,2293,1k-5k,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0
46,1,43,36-44,No,"Travel Rarely",1273,"Research & Development",2,2,Medical,4,Female,72,4,1,"Research Scientist",3,Divorced,2645,1k-5k,21923,1,No,12,3,4,2,6,3,2,5,3,1,4
47,1,50,45-53,Yes,"Travel Rarely",869,Sales,3,2,Marketing,1,Male,86,2,1,"Sales Representative",3,Married,2683,1k-5k,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2
49,1,35,27-35,No,"Travel Rarely",890,Sales,2,3,Marketing,4,Female,97,3,1,"Sales Representative",4,Married,2014,1k-5k,9687,1,No,13,3,1,0,2,3,3,2,2,2,2
51,1,36,36-44,No,"Travel Rarely",852,"Research & Development",5,4,"Life Sciences",2,Female,82,2,1,"Research Scientist",1,Married,3419,1k-5k,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0
52,1,33,27-35,No,"Travel Frequently",1141,Sales,1,3,"Life Sciences",3,Female,42,4,2,"Sales Executive",1,Married,5376,5k-10k,3193,2,No,19,3,1,2,10,3,3,5,3,1,3
53,1,35,27-35,No,"Travel Rarely",464,"Research & Development",4,2,Other,3,Male,75,3,1,"Laboratory Technician",4,Divorced,1951,1k-5k,10910,1,No,12,3,3,1,1,3,3,1,0,0,0
54,1,27,27-35,No,"Travel Rarely",1240,"Research & Development",2,4,"Life Sciences",4,Female,33,3,1,"Laboratory Technician",1,Divorced,2341,1k-5k,19715,1,No,13,3,4,1,1,6,3,1,0,0,0
55,1,26,18-26,Yes,"Travel Rarely",1357,"Research & Development",25,3,"Life Sciences",1,Male,48,1,1,"Laboratory Technician",3,Single,2293,1k-5k,10558,1,No,12,3,3,0,1,2,2,1,0,0,1
56,1,27,27-35,No,"Travel Frequently",994,Sales,8,3,"Life Sciences",4,Male,37,3,3,"Sales Executive",3,Single,8726,5k-10k,2975,1,No,15,3,4,0,9,0,3,9,8,1,7
57,1,30,27-35,No,"Travel Frequently",721,"Research & Development",1,2,Medical,3,Female,58,3,2,"Laboratory Technician",4,Single,4011,1k-5k,10781,1,No,23,4,4,0,12,2,3,12,8,3,7
58,1,41,36-44,Yes,"Travel Rarely",1360,"Research & Development",12,3,"Technical Degree",2,Female,49,3,5,"Research Director",3,Married,19545,15k-20k,16280,1,No,12,3,4,0,23,0,3,22,15,15,8
60,1,34,27-35,No,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,"Sales Executive",3,Single,4568,1k-5k,10034,0,No,20,4,3,0,10,2,3,9,5,8,7
61,1,37,36-44,No,"Travel Rarely",408,"Research & Development",19,2,"Life Sciences",2,Male,73,3,1,"Research Scientist",2,Married,3022,1k-5k,10227,4,No,21,4,1,0,8,1,3,1,0,0,0
62,1,46,45-53,No,"Travel Frequently",1211,Sales,5,4,Marketing,1,Male,98,3,2,"Sales Executive",4,Single,5772,5k-10k,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8
63,1,35,27-35,No,"Travel Rarely",1229,"Research & Development",8,1,"Life Sciences",4,Male,36,4,1,"Laboratory Technician",4,Married,2269,1k-5k,4892,1,No,19,3,4,0,1,2,3,1,0,0,1
64,1,48,45-53,Yes,"Travel Rarely",626,"Research & Development",1,2,"Life Sciences",1,Male,98,2,3,"Laboratory Technician",3,Single,5381,5k-10k,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0
65,1,28,27-35,Yes,"Travel Rarely",1434,"Research & Development",5,4,"Technical Degree",3,Male,50,3,1,"Laboratory Technician",3,Single,3441,1k-5k,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2
68,1,44,36-44,No,"Travel Rarely",1488,Sales,1,5,Marketing,2,Female,75,3,2,"Sales Executive",1,Divorced,5454,5k-10k,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3
70,1,35,27-35,No,Non-Travel,1097,"Research & Development",11,2,Medical,3,Male,79,2,3,"Healthcare Representative",1,Married,9884,5k-10k,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3
72,1,26,18-26,No,"Travel Rarely",1443,Sales,23,3,Marketing,3,Female,47,2,2,"Sales Executive",4,Married,4157,1k-5k,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0
73,1,33,27-35,No,"Travel Frequently",515,"Research & Development",1,2,"Life Sciences",1,Female,98,3,3,"Research Director",4,Single,13458,10k-15k,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12
74,1,35,27-35,No,"Travel Frequently",853,Sales,18,5,"Life Sciences",2,Male,71,3,3,"Sales Executive",1,Married,9069,5k-10k,11031,1,No,22,4,4,1,9,3,2,9,8,1,8
75,1,35,27-35,No,"Travel Rarely",1142,"Research & Development",23,4,Medical,3,Female,30,3,1,"Laboratory Technician",1,Married,4014,1k-5k,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2
76,1,31,27-35,No,"Travel Rarely",655,"Research & Development",7,4,"Life Sciences",4,Male,48,3,2,"Laboratory Technician",4,Divorced,5915,5k-10k,9528,3,No,22,4,4,1,10,3,2,7,7,1,7
77,1,37,36-44,No,"Travel Rarely",1115,"Research & Development",1,4,"Life Sciences",1,Male,51,2,2,"Manufacturing Director",3,Divorced,5993,5k-10k,2689,1,No,18,3,3,1,7,2,4,7,5,0,7
78,1,32,27-35,No,"Travel Rarely",427,"Research & Development",1,3,Medical,1,Male,33,3,2,"Manufacturing Director",4,Married,6162,5k-10k,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8
79,1,38,36-44,No,"Travel Frequently",653,"Research & Development",29,5,"Life Sciences",4,Female,50,3,2,"Laboratory Technician",4,Single,2406,1k-5k,5456,1,No,11,3,4,0,10,2,3,10,3,9,9
80,1,50,45-53,No,"Travel Rarely",989,"Research & Development",7,2,Medical,2,Female,43,2,5,"Research Director",3,Divorced,18740,15k-20k,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8
81,1,59,54-60,No,"Travel Rarely",1435,Sales,25,3,"Life Sciences",1,Female,99,3,3,"Sales Executive",1,Single,7637,5k-10k,2354,7,No,11,3,4,0,28,3,2,21,16,7,9
83,1,36,36-44,No,"Travel Rarely",1223,"Research & Development",8,3,"Technical Degree",3,Female,59,3,3,"Healthcare Representative",3,Divorced,10096,10k-15k,8202,1,No,13,3,2,3,17,2,3,17,14,12,8
84,1,55,54-60,No,"Travel Rarely",836,"Research & Development",8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756,10k-15k,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2
85,1,36,36-44,No,"Travel Frequently",1195,"Research & Development",11,3,"Life Sciences",2,Male,95,2,2,"Manufacturing Director",2,Single,6499,5k-10k,22656,1,No,13,3,3,0,6,3,3,6,5,0,3
86,1,45,45-53,No,"Travel Rarely",1339,"Research & Development",7,3,"Life Sciences",2,Male,59,3,3,"Research Scientist",1,Divorced,9724,5k-10k,18787,2,No,17,3,3,1,25,2,3,1,0,0,0
88,1,35,27-35,No,"Travel Frequently",664,"Research & Development",1,3,Medical,2,Male,79,3,1,"Research Scientist",1,Married,2194,1k-5k,5868,4,No,13,3,4,1,5,2,2,3,2,1,2
90,1,36,36-44,Yes,"Travel Rarely",318,"Research & Development",9,3,Medical,4,Male,79,2,1,"Research Scientist",3,Married,3388,1k-5k,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0
91,1,59,54-60,No,"Travel Frequently",1225,Sales,1,1,"Life Sciences",1,Female,57,2,2,"Sales Executive",3,Single,5473,5k-10k,24668,7,No,11,3,4,0,20,2,2,4,3,1,3
94,1,29,27-35,No,"Travel Rarely",1328,"Research & Development",2,3,"Life Sciences",3,Male,76,3,1,"Research Scientist",2,Married,2703,1k-5k,4956,0,No,23,4,4,1,6,3,3,5,4,0,4
95,1,31,27-35,No,"Travel Rarely",1082,"Research & Development",1,4,Medical,3,Male,87,3,1,"Research Scientist",2,Single,2501,1k-5k,18775,1,No,17,3,2,0,1,4,3,1,1,1,0
96,1,32,27-35,No,"Travel Rarely",548,"Research & Development",1,3,"Life Sciences",2,Male,66,3,2,"Research Scientist",2,Married,6220,5k-10k,7346,1,No,17,3,2,2,10,3,3,10,4,0,9
97,1,36,36-44,No,"Travel Rarely",132,"Research & Development",6,3,"Life Sciences",2,Female,55,4,1,"Laboratory Technician",4,Married,3038,1k-5k,22002,3,No,12,3,2,0,5,3,3,1,0,0,0
98,1,31,27-35,No,"Travel Rarely",746,"Research & Development",8,4,"Life Sciences",3,Female,61,3,2,"Manufacturing Director",4,Single,4424,1k-5k,20682,1,No,23,4,4,0,11,2,3,11,7,1,8
100,1,35,27-35,No,"Travel Rarely",776,Sales,1,4,Marketing,3,Male,32,2,2,"Sales Executive",1,Single,4312,1k-5k,23016,0,No,14,3,2,0,16,2,3,15,13,2,8
101,1,45,45-53,No,"Travel Rarely",193,"Research & Development",6,4,Other,4,Male,52,3,3,"Research Director",1,Married,13245,10k-15k,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0
102,1,37,36-44,No,"Travel Rarely",397,"Research & Development",7,4,Medical,1,Male,30,3,3,"Research Director",3,Single,13664,10k-15k,25258,4,No,13,3,1,0,16,3,4,5,2,0,2
103,1,46,45-53,No,"Travel Rarely",945,"Human Resources",5,2,Medical,2,Male,80,3,2,"Human Resources",2,Divorced,5021,5k-10k,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2
104,1,30,27-35,No,"Travel Rarely",852,"Research & Development",1,1,"Life Sciences",4,Male,55,2,2,"Laboratory Technician",4,Married,5126,5k-10k,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0
105,1,35,27-35,No,"Travel Rarely",1214,"Research & Development",1,3,Medical,2,Male,30,2,1,"Research Scientist",3,Single,2859,1k-5k,26278,1,No,18,3,1,0,6,3,3,6,4,0,4
106,1,55,54-60,No,"Travel Rarely",111,Sales,1,2,"Life Sciences",1,Male,70,3,3,"Sales Executive",4,Married,10239,10k-15k,18092,3,No,14,3,4,1,24,4,3,1,0,1,0
107,1,38,36-44,No,Non-Travel,573,"Research & Development",6,3,Medical,2,Female,79,1,2,"Research Scientist",4,Divorced,5329,5k-10k,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9
110,1,34,27-35,No,"Travel Rarely",1153,"Research & Development",1,2,Medical,1,Male,94,3,2,"Manufacturing Director",2,Married,4325,1k-5k,17736,1,No,15,3,3,0,5,2,3,5,2,1,3
112,1,56,54-60,No,"Travel Rarely",1400,"Research & Development",7,3,"Life Sciences",4,Male,49,1,3,"Manufacturing Director",4,Single,7260,5k-10k,21698,4,No,11,3,1,0,37,3,2,6,4,0,2
113,1,23,18-26,No,"Travel Rarely",541,Sales,2,1,"Technical Degree",3,Male,62,3,1,"Sales Representative",1,Divorced,2322,1k-5k,9518,3,No,13,3,3,1,3,3,3,0,0,0,0
116,1,51,45-53,No,"Travel Rarely",432,"Research & Development",9,4,"Life Sciences",4,Male,96,3,1,"Laboratory Technician",4,Married,2075,1k-5k,18725,3,No,23,4,2,2,10,4,3,4,2,0,3
117,1,30,27-35,No,"Travel Rarely",288,"Research & Development",2,3,"Life Sciences",3,Male,99,2,2,"Healthcare Representative",4,Married,4152,1k-5k,15830,1,No,19,3,1,3,11,3,3,11,10,10,8
118,1,46,45-53,Yes,"Travel Rarely",669,Sales,9,2,Medical,3,Male,64,2,3,"Sales Executive",4,Single,9619,5k-10k,13596,1,No,16,3,4,0,9,3,3,9,8,4,7
119,1,40,36-44,No,"Travel Frequently",530,"Research & Development",1,4,"Life Sciences",3,Male,78,2,4,"Healthcare Representative",2,Married,13503,10k-15k,14115,1,No,22,4,4,1,22,3,2,22,3,11,11
120,1,51,45-53,No,"Travel Rarely",632,Sales,21,4,Marketing,3,Male,71,3,2,"Sales Executive",4,Single,5441,5k-10k,8423,0,Yes,22,4,4,0,11,2,1,10,7,1,0
121,1,30,27-35,No,"Travel Rarely",1334,Sales,4,2,Medical,3,Female,63,2,2,"Sales Executive",2,Divorced,5209,5k-10k,19760,1,Yes,12,3,2,3,11,4,2,11,8,2,7
124,1,46,45-53,No,"Travel Frequently",638,"Research & Development",1,3,Medical,3,Male,40,2,3,"Healthcare Representative",1,Married,10673,10k-15k,3142,2,Yes,13,3,3,1,21,5,2,10,9,9,5
125,1,32,27-35,No,"Travel Rarely",1093,Sales,6,4,Medical,2,Male,87,3,2,"Sales Executive",3,Single,5010,5k-10k,24301,1,No,16,3,1,0,12,0,3,11,8,5,7
126,1,54,54-60,No,"Travel Rarely",1217,"Research & Development",2,4,"Technical Degree",1,Female,60,3,3,"Research Director",3,Married,13549,10k-15k,24001,9,No,12,3,1,1,16,5,1,4,3,0,3
128,1,24,18-26,No,"Travel Rarely",1353,Sales,3,2,Other,1,Female,33,3,2,"Sales Executive",3,Married,4999,1k-5k,17519,0,No,21,4,1,1,4,2,2,3,2,0,2
129,1,28,27-35,No,Non-Travel,120,Sales,4,3,Medical,2,Male,43,3,2,"Sales Executive",3,Married,4221,1k-5k,8863,1,No,15,3,2,0,5,3,4,5,4,0,4
131,1,58,54-60,No,"Travel Rarely",682,Sales,10,4,Medical,4,Male,37,3,4,"Sales Executive",3,Single,13872,10k-15k,24409,0,No,13,3,3,0,38,1,2,37,10,1,8
132,1,44,36-44,No,Non-Travel,489,"Research & Development",23,3,Medical,2,Male,67,3,2,"Laboratory Technician",2,Married,2042,1k-5k,25043,4,No,12,3,3,1,17,3,4,3,2,1,2
133,1,37,36-44,Yes,"Travel Rarely",807,"Human Resources",6,4,"Human Resources",3,Male,63,3,1,"Human Resources",1,Divorced,2073,1k-5k,23648,4,Yes,22,4,4,0,7,3,3,3,2,0,2
134,1,32,27-35,No,"Travel Rarely",827,"Research & Development",1,1,"Life Sciences",4,Male,71,3,1,"Research Scientist",1,Single,2956,1k-5k,15178,1,No,13,3,4,0,1,2,3,1,0,0,0
137,1,20,18-26,Yes,"Travel Frequently",871,"Research & Development",6,3,"Life Sciences",4,Female,66,2,1,"Laboratory Technician",4,Single,2926,1k-5k,19783,1,Yes,18,3,2,0,1,5,3,1,0,1,0
138,1,34,27-35,No,"Travel Rarely",665,"Research & Development",6,4,Other,1,Female,41,3,2,"Research Scientist",3,Single,4809,1k-5k,12482,1,No,14,3,3,0,16,3,3,16,13,2,10
139,1,37,36-44,No,Non-Travel,1040,"Research & Development",2,2,"Life Sciences",3,Male,100,2,2,"Healthcare Representative",4,Divorced,5163,5k-10k,15850,5,No,14,3,4,1,17,2,4,1,0,0,0
140,1,59,54-60,No,Non-Travel,1420,"Human Resources",2,4,"Human Resources",3,Female,32,2,5,Manager,4,Married,18844,15k-20k,21922,9,No,21,4,4,1,30,3,3,3,2,2,2
141,1,50,45-53,No,"Travel Frequently",1115,"Research & Development",1,3,"Life Sciences",1,Female,73,3,5,"Research Director",2,Married,18172,15k-20k,9755,3,Yes,19,3,1,0,28,1,2,8,3,0,7
142,1,25,18-26,Yes,"Travel Rarely",240,Sales,5,3,Marketing,3,Male,46,2,2,"Sales Executive",3,Single,5744,5k-10k,26959,1,Yes,11,3,4,0,6,1,3,6,4,0,3
143,1,25,18-26,No,"Travel Rarely",1280,"Research & Development",7,1,Medical,4,Male,64,2,1,"Research Scientist",4,Married,2889,1k-5k,26897,1,No,11,3,3,2,2,2,3,2,2,2,1
144,1,22,18-26,No,"Travel Rarely",534,"Research & Development",15,3,Medical,2,Female,59,3,1,"Laboratory Technician",4,Single,2871,1k-5k,23785,1,No,15,3,3,0,1,5,3,0,0,0,0
145,1,51,45-53,No,"Travel Frequently",1456,"Research & Development",1,4,Medical,1,Female,30,2,3,"Healthcare Representative",1,Single,7484,5k-10k,25796,3,No,20,4,3,0,23,1,2,13,12,12,8
147,1,34,27-35,Yes,"Travel Frequently",658,"Research & Development",7,3,"Life Sciences",1,Male,66,1,2,"Laboratory Technician",3,Single,6074,5k-10k,22887,1,Yes,24,4,4,0,9,3,3,9,7,0,6
148,1,54,54-60,No,Non-Travel,142,"Human Resources",26,3,"Human Resources",4,Female,30,4,4,Manager,4,Single,17328,15k-20k,13871,2,Yes,12,3,3,0,23,3,3,5,3,4,4
150,1,24,18-26,No,"Travel Rarely",1127,"Research & Development",18,1,"Life Sciences",2,Male,52,3,1,"Laboratory Technician",3,Married,2774,1k-5k,13257,0,No,12,3,3,1,6,2,3,5,3,1,2
151,1,34,27-35,No,"Travel Rarely",1031,"Research & Development",6,4,"Life Sciences",3,Female,45,2,2,"Research Scientist",2,Divorced,4505,1k-5k,15000,6,No,15,3,3,1,12,3,3,1,0,0,0
152,1,37,36-44,No,"Travel Rarely",1189,Sales,3,3,"Life Sciences",3,Male,87,3,3,"Sales Executive",4,Single,7428,5k-10k,14506,2,No,12,3,1,0,12,3,3,5,3,1,3
153,1,34,27-35,No,"Travel Rarely",1354,"Research & Development",5,3,Medical,3,Female,45,2,3,Manager,1,Single,11631,10k-15k,5615,2,No,12,3,4,0,14,6,3,11,10,5,8
154,1,36,36-44,No,"Travel Frequently",1467,Sales,11,2,"Technical Degree",2,Female,92,3,3,"Sales Executive",4,Married,9738,5k-10k,22952,0,No,14,3,3,1,10,6,3,9,7,2,8
155,1,36,36-44,No,"Travel Rarely",922,"Research & Development",3,2,"Life Sciences",1,Female,39,3,1,"Laboratory Technician",4,Divorced,2835,1k-5k,2561,5,No,22,4,1,1,7,2,3,1,0,0,0
158,1,43,36-44,No,"Travel Frequently",394,Sales,26,2,"Life Sciences",3,Male,92,3,4,Manager,4,Married,16959,15k-20k,19494,1,Yes,12,3,4,2,25,3,4,25,12,4,12
159,1,30,27-35,No,"Travel Frequently",1312,"Research & Development",23,3,"Life Sciences",1,Male,96,1,1,"Research Scientist",3,Divorced,2613,1k-5k,22310,1,No,25,4,3,3,10,2,2,10,7,0,9
160,1,33,27-35,No,Non-Travel,750,Sales,22,2,Marketing,3,Male,95,3,2,"Sales Executive",2,Married,6146,5k-10k,15480,0,No,13,3,1,1,8,2,4,7,7,0,7
161,1,56,54-60,Yes,"Travel Rarely",441,"Research & Development",14,4,"Life Sciences",2,Female,72,3,1,"Research Scientist",2,Married,4963,1k-5k,4510,9,Yes,18,3,1,3,7,2,3,5,4,4,3
162,1,51,45-53,No,"Travel Rarely",684,"Research & Development",6,3,"Life Sciences",1,Male,51,3,5,"Research Director",3,Single,19537,15k-20k,6462,7,No,13,3,3,0,23,5,3,20,18,15,15
163,1,31,27-35,Yes,"Travel Rarely",249,Sales,6,4,"Life Sciences",2,Male,76,1,2,"Sales Executive",3,Married,6172,5k-10k,20739,4,Yes,18,3,2,0,12,3,2,7,7,7,7
164,1,26,18-26,No,"Travel Rarely",841,"Research & Development",6,3,Other,3,Female,46,2,1,"Research Scientist",2,Married,2368,1k-5k,23300,1,No,19,3,3,0,5,3,2,5,4,4,3
165,1,58,54-60,Yes,"Travel Rarely",147,"Research & Development",23,4,Medical,4,Female,94,3,3,"Healthcare Representative",4,Married,10312,10k-15k,3465,1,No,12,3,4,1,40,3,2,40,10,15,6
167,1,19,18-26,Yes,"Travel Rarely",528,Sales,22,1,Marketing,4,Male,50,3,1,"Sales Representative",3,Single,1675,1k-5k,26820,1,Yes,19,3,4,0,0,2,2,0,0,0,0
169,1,22,18-26,No,"Travel Rarely",594,"Research & Development",2,1,"Technical Degree",3,Male,100,3,1,"Laboratory Technician",4,Married,2523,1k-5k,19299,0,No,14,3,3,1,3,2,3,2,1,2,1
